head_ref,fragment_ref,head_last_role,fragment_first_role,flow_id,visual_continuity,speech_run_decision,decision,reason
LDC.T14.E0002.P014,LDC.T14.E0002.P019,PERSONIFIED_VOICE,JESUS,FLOW.T14.P014-P021..E0002,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T14.E0002.P014,LDC.T14.E0002.P020,PERSONIFIED_VOICE,JESUS,FLOW.T14.P014-P021..E0002,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T14.E0002.P014,LDC.T14.E0002.P021,PERSONIFIED_VOICE,JESUS,FLOW.T14.P014-P021..E0002,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T17.E0026.P015,LDC.T17.E0026.P016,JESUS,NARRATIVE,FLOW.T17.P015-P016..E0026,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T17.E0032.P005,LDC.T17.E0032.P006,JESUS,NARRATIVE,FLOW.T17.P005-P007..E0032,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T17.E0032.P005,LDC.T17.E0032.P007,JESUS,NARRATIVE,FLOW.T17.P005-P007..E0032,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T17.E0040.P002,LDC.T17.E0040.P003,LUISA,NARRATIVE,FLOW.T17.P002-P005..E0040,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T17.E0040.P002,LDC.T17.E0040.P004,LUISA,NARRATIVE,FLOW.T17.P002-P005..E0040,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T17.E0040.P002,LDC.T17.E0040.P005,LUISA,NARRATIVE,FLOW.T17.P002-P005..E0040,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T17.E0040.P043,LDC.T17.E0040.P044,LUISA,NARRATIVE,FLOW.T17.P043-P046..E0040,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T17.E0040.P043,LDC.T17.E0040.P045,LUISA,NARRATIVE,FLOW.T17.P043-P046..E0040,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T17.E0040.P043,LDC.T17.E0040.P046,LUISA,NARRATIVE,FLOW.T17.P043-P046..E0040,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T17.E0041.P021,LDC.T17.E0041.P024,LUISA,NARRATIVE,FLOW.T17.P021-P024..E0041,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T18.E0005A.P005,LDC.T18.E0005A.P006,LUISA,NARRATIVE,FLOW.T18.P005-P007.E0005A,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T18.E0005A.P005,LDC.T18.E0005A.P007,LUISA,NARRATIVE,FLOW.T18.P005-P007.E0005A,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T18.E0007.P011,LDC.T18.E0007.P012,JESUS,NARRATIVE,FLOW.T18.P011-P013..E0007,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T18.E0007.P011,LDC.T18.E0007.P013,JESUS,NARRATIVE,FLOW.T18.P011-P013..E0007,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T18.E0016.P001,LDC.T18.E0016.P003,LUISA,NARRATIVE,FLOW.T18.P001-P004..E0016,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T18.E0016.P001,LDC.T18.E0016.P004,LUISA,NARRATIVE,FLOW.T18.P001-P004..E0016,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T18.E0021.P023,LDC.T18.E0021.P024,JESUS,NARRATIVE,FLOW.T18.P023-P024..E0021,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T18.E0023.P019,LDC.T18.E0023.P020,JESUS,NARRATIVE,FLOW.T18.P019-P020..E0023,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T21.E0014.P011,LDC.T21.E0014.P013,NARRATIVE,PERSONIFIED_VOICE,FLOW.T21.P011-P014..E0014,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T21.E0021.P015,LDC.T21.E0021.P016,JESUS,NARRATIVE,FLOW.T21.P015-P016..E0021,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0005.P047,LDC.T25.E0005.P048,JESUS,NARRATIVE,FLOW.T25.P047-P050..E0005,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0005.P047,LDC.T25.E0005.P049,JESUS,NARRATIVE,FLOW.T25.P047-P050..E0005,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0005.P047,LDC.T25.E0005.P050,JESUS,NARRATIVE,FLOW.T25.P047-P050..E0005,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0008.P050,LDC.T25.E0008.P051,JESUS,NARRATIVE,FLOW.T25.P050-P051..E0008,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0015.P009,LDC.T25.E0015.P010,JESUS,NARRATIVE,FLOW.T25.P009-P011..E0015,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0015.P009,LDC.T25.E0015.P011,JESUS,NARRATIVE,FLOW.T25.P009-P011..E0015,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0015.P034,LDC.T25.E0015.P035,JESUS,NARRATIVE,FLOW.T25.P034-P036..E0015,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0015.P034,LDC.T25.E0015.P036,JESUS,NARRATIVE,FLOW.T25.P034-P036..E0015,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0017.P023,LDC.T25.E0017.P025,NARRATIVE,JESUS,FLOW.T25.P023-P026..E0017,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0017.P023,LDC.T25.E0017.P026,NARRATIVE,JESUS,FLOW.T25.P023-P026..E0017,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0017.P027,LDC.T25.E0017.P029,NARRATIVE,JESUS,FLOW.T25.P027-P029..E0017,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0017.P050,LDC.T25.E0017.P051,NARRATIVE,JESUS,FLOW.T25.P050-P052..E0017,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0017.P050,LDC.T25.E0017.P052,NARRATIVE,JESUS,FLOW.T25.P050-P052..E0017,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0019.P014,LDC.T25.E0019.P015,JESUS,NARRATIVE,FLOW.T25.P014-P015..E0019,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0019.P027,LDC.T25.E0019.P029,JESUS,NARRATIVE,FLOW.T25.P027-P029..E0019,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T25.E0031.P094,LDC.T25.E0031.P096,JESUS,NARRATIVE,FLOW.T25.P094-P096..E0031,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T04.1900-10-12.E001.P001,LDC.T04.1900-10-12.E001.P002,NARRATIVE,LUISA,FLOW.T04.P001-P002.2_e001,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T04.1900-12-03.E001.P001,LDC.T04.1900-12-03.E001.P002,NARRATIVE,LUISA,FLOW.T04.P001-P002.3_e001,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T04.1901-01-16.E001.P012,LDC.T04.1901-01-16.E001.P013,JESUS,NARRATIVE,FLOW.T04.P012-P013.6_e001,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T04.1902-12-30.E001.P002,LDC.T04.1902-12-30.E001.P003,OTHER,NARRATIVE,FLOW.T04.P002-P003.0_e001,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T23.E0010.P073,LDC.T23.E0010.P074,NARRATIVE,JESUS,FLOW.T23.P073-P076..E0010,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T23.E0010.P073,LDC.T23.E0010.P075,NARRATIVE,JESUS,FLOW.T23.P073-P076..E0010,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T23.E0010.P073,LDC.T23.E0010.P076,NARRATIVE,JESUS,FLOW.T23.P073-P076..E0010,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T23.E0013.P060,LDC.T23.E0013.P061,NARRATIVE,JESUS,FLOW.T23.P060-P062..E0013,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T23.E0013.P060,LDC.T23.E0013.P062,NARRATIVE,JESUS,FLOW.T23.P060-P062..E0013,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T23.E0018.P047,LDC.T23.E0018.P049,NARRATIVE,PERSONIFIED_VOICE,FLOW.T23.P047-P049..E0018,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T23.E0030.P005,LDC.T23.E0030.P008,NARRATIVE,PERSONIFIED_VOICE,FLOW.T23.P005-P008..E0030,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T23.E0032.P090,LDC.T23.E0032.P091,JESUS,NARRATIVE,FLOW.T23.P090-P092..E0032,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T23.E0032.P090,LDC.T23.E0032.P092,JESUS,NARRATIVE,FLOW.T23.P090-P092..E0032,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T24.E0037.P090,LDC.T24.E0037.P091,JESUS,NARRATIVE,FLOW.T24.P090-P091..E0037,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T24.E0038.P039,LDC.T24.E0038.P040,JESUS,OTHER,FLOW.T24.P039-P040..E0038,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T20.E0018.P069,LDC.T20.E0018.P071,JESUS,PERSONIFIED_VOICE,FLOW.T20.P069-P072..E0018,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T20.E0018.P069,LDC.T20.E0018.P072,JESUS,PERSONIFIED_VOICE,FLOW.T20.P069-P072..E0018,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T20.E0035.P033,LDC.T20.E0035.P036,NARRATIVE,JESUS,FLOW.T20.P033-P037..E0035,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T20.E0035.P033,LDC.T20.E0035.P037,NARRATIVE,JESUS,FLOW.T20.P033-P037..E0035,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T16.E0044.P033,LDC.T16.E0044.P037,JESUS,NARRATIVE,FLOW.T16.P033-P037..E0044,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T16.E0053.P012,LDC.T16.E0053.P013,JESUS,NARRATIVE,FLOW.T16.P012-P015..E0053,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T16.E0053.P012,LDC.T16.E0053.P014,JESUS,NARRATIVE,FLOW.T16.P012-P015..E0053,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T16.E0053.P012,LDC.T16.E0053.P015,JESUS,NARRATIVE,FLOW.T16.P012-P015..E0053,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T16.E0053.P027,LDC.T16.E0053.P028,JESUS,NARRATIVE,FLOW.T16.P027-P028..E0053,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T16.E0054.P049,LDC.T16.E0054.P052,JESUS,NARRATIVE,FLOW.T16.P049-P052..E0054,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T29.E0009.P012,LDC.T29.E0009.P015,NARRATIVE,LUISA,FLOW.T29.P012-P015..E0009,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T29.E0023.P052,LDC.T29.E0023.P053,JESUS,OTHER,FLOW.T29.P052-P054..E0023,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T29.E0023.P052,LDC.T29.E0023.P054,JESUS,OTHER,FLOW.T29.P052-P054..E0023,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T15.E0009.P042,LDC.T15.E0009.P045,JESUS,NARRATIVE,FLOW.T15.P042-P046..E0009,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T15.E0009.P042,LDC.T15.E0009.P046,JESUS,NARRATIVE,FLOW.T15.P042-P046..E0009,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T15.E0021.P016,LDC.T15.E0021.P017,JESUS,NARRATIVE,FLOW.T15.P016-P017..E0021,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T15.E0030.P048,LDC.T15.E0030.P052,LUISA,JESUS,FLOW.T15.P048-P053..E0030,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T15.E0030.P048,LDC.T15.E0030.P053,LUISA,JESUS,FLOW.T15.P048-P053..E0030,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T15.E0033.P041,LDC.T15.E0033.P042,JESUS,NARRATIVE,FLOW.T15.P041-P042..E0033,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T13.E0017.P015,LDC.T13.E0017.P016,JESUS,NARRATIVE,FLOW.T13.P015-P017..E0017,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T13.E0017.P015,LDC.T13.E0017.P017,JESUS,NARRATIVE,FLOW.T13.P015-P017..E0017,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T13.E0017.P024,LDC.T13.E0017.P027,PERSONIFIED_VOICE,JESUS,FLOW.T13.P024-P028..E0017,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T13.E0017.P024,LDC.T13.E0017.P028,PERSONIFIED_VOICE,JESUS,FLOW.T13.P024-P028..E0017,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T13.E0040.P021,LDC.T13.E0040.P022,JESUS,NARRATIVE,FLOW.T13.P021-P022..E0040,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
